# Flux Map Data (Trace-Once Method) - Generated: 2025-04-02 14:49:31
# Number of rays: 100000
# Detector dimensions: 40cm x 40cm
# Sphere inner radius: 100.1cm
# Sphere outer radius: 101cm
# Exit port angle: 160 degrees
# Theta bins: 180
# Phi bins: 90
# Mirror reflectance: 0.99
# Gaussian roughness: 0.01
# Lambertian scattering: enabled
# Source position (x,y,z): -60cm, 0cm, -75cm
# Source direction (x,y,z): 5, 0, 0
# Max reflections: 50000
# Method: Trace-Once (single trace, multiple detector positions)
theta,phi,fraction
0.250000,2.000000,0.015260
0.250000,6.000000,0.015290
0.250000,10.000000,0.015320
0.250000,14.000000,0.015320
0.250000,18.000000,0.015310
0.250000,22.000000,0.015320
0.250000,26.000000,0.015320
0.250000,30.000000,0.015310
0.250000,34.000000,0.015320
0.250000,38.000000,0.015330
0.250000,42.000000,0.015330
0.250000,46.000000,0.015360
0.250000,50.000000,0.015350
0.250000,54.000000,0.015330
0.250000,58.000000,0.015320
0.250000,62.000000,0.015330
0.250000,66.000000,0.015330
0.250000,70.000000,0.015320
0.250000,74.000000,0.015300
0.250000,78.000000,0.015330
0.250000,82.000000,0.015330
0.250000,86.000000,0.015330
0.250000,90.000000,0.015340
0.250000,94.000000,0.015300
0.250000,98.000000,0.015280
0.250000,102.000000,0.015280
0.250000,106.000000,0.015260
0.250000,110.000000,0.015250
0.250000,114.000000,0.015250
0.250000,118.000000,0.015240
0.250000,122.000000,0.015250
0.250000,126.000000,0.015240
0.250000,130.000000,0.015220
0.250000,134.000000,0.015230
0.250000,138.000000,0.015240
0.250000,142.000000,0.015250
0.250000,146.000000,0.015220
0.250000,150.000000,0.015220
0.250000,154.000000,0.015180
0.250000,158.000000,0.015180
0.250000,162.000000,0.015200
0.250000,166.000000,0.015180
0.250000,170.000000,0.015160
0.250000,174.000000,0.015220
0.250000,178.000000,0.015220
0.250000,182.000000,0.015200
0.250000,186.000000,0.015180
0.250000,190.000000,0.015170
0.250000,194.000000,0.015180
0.250000,198.000000,0.015170
0.250000,202.000000,0.015140
0.250000,206.000000,0.015140
0.250000,210.000000,0.015160
0.250000,214.000000,0.015150
0.250000,218.000000,0.015180
0.250000,222.000000,0.015160
0.250000,226.000000,0.015120
0.250000,230.000000,0.015130
0.250000,234.000000,0.015150
0.250000,238.000000,0.015150
0.250000,242.000000,0.015180
0.250000,246.000000,0.015190
0.250000,250.000000,0.015190
0.250000,254.000000,0.015180
0.250000,258.000000,0.015180
0.250000,262.000000,0.015180
0.250000,266.000000,0.015190
0.250000,270.000000,0.015200
0.250000,274.000000,0.015210
0.250000,278.000000,0.015220
0.250000,282.000000,0.015220
0.250000,286.000000,0.015210
0.250000,290.000000,0.015220
0.250000,294.000000,0.015230
0.250000,298.000000,0.015240
0.250000,302.000000,0.015300
0.250000,306.000000,0.015280
0.250000,310.000000,0.015240
0.250000,314.000000,0.015230
0.250000,318.000000,0.015230
0.250000,322.000000,0.015240
0.250000,326.000000,0.015240
