# Detector Data - Generated: 2025-03-24 13:14:34
# Number of rays: 50000
# Detector dimensions: 20cm x 20cm
# Sphere inner radius: 100.1cm
# Sphere outer radius: 101cm
# Exit port angle: 170 degrees
# Theta bins: 180
# Phi bins: 90
# Mirror reflectance: 0.99
# Gaussian roughness: 0.75
# Lambertian scattering: enabled
theta,phi,fraction
0.250000,2.000000,0.001260
0.250000,6.000000,0.001060
0.250000,10.000000,0.000880
0.250000,14.000000,0.000800
0.250000,18.000000,0.001180
0.250000,22.000000,0.001300
0.250000,26.000000,0.001120
0.250000,30.000000,0.001100
0.250000,34.000000,0.000940
0.250000,38.000000,0.001180
0.250000,42.000000,0.001000
0.250000,46.000000,0.001280
0.250000,50.000000,0.001140
0.250000,54.000000,0.001160
0.250000,58.000000,0.001100
0.250000,62.000000,0.001080
