# Flux Map Data - Generated: 2025-04-02 04:22:52
# Number of rays per position: 50000
# Detector dimensions: 40cm x 40cm
# Sphere inner radius: 100.1cm
# Sphere outer radius: 101cm
# Exit port angle: 169 degrees
# Theta bins: 180
# Phi bins: 90
# Mirror reflectance: 0.99
# Gaussian roughness: 0.01
# Lambertian scattering: enabled
# Source position (x,y,z): -60cm, 0cm, -75cm
# Source direction (x,y,z): 5, 0, 0
# Max reflections: 50000
theta,phi,fraction
0.250000,2.000000,0.016180
0.250000,6.000000,0.017340
0.250000,10.000000,0.016220
0.250000,14.000000,0.016380
0.250000,18.000000,0.017580
0.250000,22.000000,0.017360
0.250000,26.000000,0.016640
0.250000,30.000000,0.016540
0.250000,34.000000,0.015860
0.250000,38.000000,0.016580
0.250000,42.000000,0.016900
0.250000,46.000000,0.017400
0.250000,50.000000,0.017120
0.250000,54.000000,0.017680
0.250000,58.000000,0.017240
0.250000,62.000000,0.017380
0.250000,66.000000,0.017160
0.250000,70.000000,0.017560
0.250000,74.000000,0.016740
0.250000,78.000000,0.016840
0.250000,82.000000,0.017740
0.250000,86.000000,0.016380
0.250000,90.000000,0.017820
0.250000,94.000000,0.015760
0.250000,98.000000,0.017840
0.250000,102.000000,0.017280
0.250000,106.000000,0.017300
0.250000,110.000000,0.016520
0.250000,114.000000,0.017680
0.250000,118.000000,0.017660
0.250000,122.000000,0.019160
0.250000,126.000000,0.017420
0.250000,130.000000,0.018060
0.250000,134.000000,0.017540
0.250000,138.000000,0.017520
0.250000,142.000000,0.017320
0.250000,146.000000,0.018260
0.250000,150.000000,0.017160
0.250000,154.000000,0.017240
0.250000,158.000000,0.016820
0.250000,162.000000,0.015080
0.250000,166.000000,0.017260
0.250000,170.000000,0.016700
0.250000,174.000000,0.016620
0.250000,178.000000,0.016080
0.250000,182.000000,0.017060
0.250000,186.000000,0.017580
0.250000,190.000000,0.016400
0.250000,194.000000,0.017240
0.250000,198.000000,0.017720
0.250000,202.000000,0.017240
0.250000,206.000000,0.016680
0.250000,210.000000,0.016820
0.250000,214.000000,0.017420
0.250000,218.000000,0.016620
0.250000,222.000000,0.017080
0.250000,226.000000,0.017160
0.250000,230.000000,0.016720
0.250000,234.000000,0.016040
0.250000,238.000000,0.016800
0.250000,242.000000,0.017160
0.250000,246.000000,0.017500
0.250000,250.000000,0.017180
0.250000,254.000000,0.017280
0.250000,258.000000,0.018140
0.250000,262.000000,0.017620
0.250000,266.000000,0.017280
0.250000,270.000000,0.017240
0.250000,274.000000,0.015960
0.250000,278.000000,0.016380
0.250000,282.000000,0.017140
0.250000,286.000000,0.016540
0.250000,290.000000,0.016740
0.250000,294.000000,0.016960
0.250000,298.000000,0.017840
0.250000,302.000000,0.017660
0.250000,306.000000,0.016600
0.250000,310.000000,0.017080
0.250000,314.000000,0.015880
0.250000,318.000000,0.018000
0.250000,322.000000,0.017500
0.250000,326.000000,0.016860
0.250000,330.000000,0.016400
0.250000,334.000000,0.017140
0.250000,338.000000,0.017080
0.250000,342.000000,0.017380
0.250000,346.000000,0.018620
0.250000,350.000000,0.016300
0.250000,354.000000,0.016640
0.250000,358.000000,0.017340
0.750000,2.000000,0.017380
0.750000,6.000000,0.017060
0.750000,10.000000,0.017380
0.750000,14.000000,0.017000
0.750000,18.000000,0.017100
0.750000,22.000000,0.016520
0.750000,26.000000,0.016920
0.750000,30.000000,0.016640
0.750000,34.000000,0.017240
0.750000,38.000000,0.016820
0.750000,42.000000,0.017020
0.750000,46.000000,0.016860
0.750000,50.000000,0.016340
0.750000,54.000000,0.016160
0.750000,58.000000,0.017740
0.750000,62.000000,0.016280
0.750000,66.000000,0.017380
0.750000,70.000000,0.018000
0.750000,74.000000,0.016080
0.750000,78.000000,0.017480
0.750000,82.000000,0.018180
0.750000,86.000000,0.017600
0.750000,90.000000,0.016960
0.750000,94.000000,0.017420
0.750000,98.000000,0.017260
0.750000,102.000000,0.017060
0.750000,106.000000,0.016380
0.750000,110.000000,0.018200
0.750000,114.000000,0.016540
0.750000,118.000000,0.016940
0.750000,122.000000,0.017400
0.750000,126.000000,0.016860
0.750000,130.000000,0.017260
0.750000,134.000000,0.016380
0.750000,138.000000,0.017320
0.750000,142.000000,0.017740
0.750000,146.000000,0.017080
0.750000,150.000000,0.017160
0.750000,154.000000,0.016780
0.750000,158.000000,0.017100
0.750000,162.000000,0.016800
0.750000,166.000000,0.016200
0.750000,170.000000,0.016180
0.750000,174.000000,0.016960
0.750000,178.000000,0.017440
0.750000,182.000000,0.017180
0.750000,186.000000,0.018040
0.750000,190.000000,0.016620
0.750000,194.000000,0.016180
0.750000,198.000000,0.016500
0.750000,202.000000,0.017780
0.750000,206.000000,0.016800
0.750000,210.000000,0.017580
0.750000,214.000000,0.016700
0.750000,218.000000,0.018160
0.750000,222.000000,0.017420
0.750000,226.000000,0.016860
0.750000,230.000000,0.016440
0.750000,234.000000,0.017460
0.750000,238.000000,0.017140
0.750000,242.000000,0.017300
0.750000,246.000000,0.015920
0.750000,250.000000,0.017100
0.750000,254.000000,0.016420
0.750000,258.000000,0.016380
